Broker,Quantity,Type,Symbol,Period_Range,Scraped_At
45,682,Buy,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
77,492,Buy,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
57,206,Buy,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
10,198,Buy,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
11,156,Buy,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
26,109,Buy,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
36,104,Buy,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
58,97,Buy,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
4,72,Buy,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
8,58,Buy,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
6,-61,Sell,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
5,-76,Sell,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
46,-93,Sell,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
39,-100,Sell,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
38,-110,Sell,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
16,-116,Sell,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
34,-119,Sell,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
17,-160,Sell,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
49,-482,Sell,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
3,-750,Sell,ACLBSL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:11.966947
48,29564,Buy,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
4,25150,Buy,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
26,13328,Buy,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
52,12064,Buy,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
77,8008,Buy,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
46,6056,Buy,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
66,5429,Buy,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
33,5146,Buy,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
44,5106,Buy,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
32,4819,Buy,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
16,-2522,Sell,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
51,-3480,Sell,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
93,-4613,Sell,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
13,-5382,Sell,ADBL,July 15th 2026 - July 22nd 2026,2026-07-22 19:57:13.728541
