Broker,Quantity,Type,Symbol,Period_Range,Scraped_At
57,855,Buy,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
77,492,Buy,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
45,351,Buy,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
36,204,Buy,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
10,198,Buy,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
11,156,Buy,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
6,129,Buy,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
38,105,Buy,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
4,72,Buy,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
21,50,Buy,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
13,-40,Sell,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
39,-53,Sell,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
5,-63,Sell,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
25,-96,Sell,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
16,-212,Sell,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
17,-280,Sell,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
49,-311,Sell,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
48,-322,Sell,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
81,-400,Sell,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
3,-783,Sell,ACLBSL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:19.250359
52,20244,Buy,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
26,13730,Buy,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
33,6127,Buy,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
44,5597,Buy,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
34,5294,Buy,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
46,5109,Buy,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
32,5074,Buy,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
21,4431,Buy,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
54,3577,Buy,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
94,3298,Buy,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
6,-1944,Sell,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
45,-2905,Sell,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
51,-3237,Sell,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
59,-3570,Sell,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
93,-4613,Sell,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
1,-5809,Sell,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
39,-7651,Sell,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
42,-8590,Sell,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
71,-10089,Sell,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
65,-18118,Sell,ADBL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:21.295739
35,2085,Buy,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
34,1271,Buy,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
49,1254,Buy,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
45,1224,Buy,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
82,1200,Buy,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
5,1050,Buy,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
6,789,Buy,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
60,650,Buy,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
33,562,Buy,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
25,540,Buy,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
1,-361,Sell,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
44,-540,Sell,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
13,-572,Sell,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
56,-654,Sell,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
39,-850,Sell,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
89,-1161,Sell,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
42,-1481,Sell,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
57,-1649,Sell,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
64,-2180,Sell,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
58,-3591,Sell,AHL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:23.312827
45,23891,Buy,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
57,20005,Buy,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
22,19397,Buy,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
50,17259,Buy,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
26,12820,Buy,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
70,12145,Buy,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
35,9970,Buy,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
34,7642,Buy,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
64,6596,Buy,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
36,5793,Buy,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
16,-5968,Sell,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
54,-6322,Sell,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
17,-7129,Sell,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
1,-7900,Sell,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
8,-8788,Sell,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
44,-9162,Sell,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
65,-9691,Sell,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
52,-12664,Sell,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
39,-15902,Sell,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
58,-33151,Sell,AHPC,July 14th 2026 - July 21st 2026,2026-07-21 20:06:25.326656
58,156714,Buy,AKJCL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:27.512101
62,74492,Buy,AKJCL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:27.512101
25,56905,Buy,AKJCL,July 14th 2026 - July 21st 2026,2026-07-21 20:06:27.512101
